,c,cyclical_var,price,distribution,media1,media2,media3,error,actual
2022-01-01,10.0,0.0,-2.5,5.000000000000001,0.47993643651749734,0.0,0.0,-0.06224555829976967,12.917690878217728
2022-01-08,10.0,0.0602683401276615,-2.5,5.000000000000001,0.6729423511500116,0.0,0.0,0.03726263592942286,13.270473327207098
2022-01-15,10.0,0.11965783214377886,-2.5,5.000000000000001,0.8301640186321507,0.0,0.0,-0.20832089986602767,13.241500950909902
2022-01-22,10.0,0.1773024435212678,-2.5,5.000000000000001,0.8415737644988845,0.0,0.0,0.20173012736662674,13.720606335386782
2022-01-29,10.0,0.23236158602188425,-2.5,5.000000000000001,0.5732993658455402,0.0,0.0,-0.06361721154133586,13.242043740326089
2022-02-05,10.0,0.2840323733655779,-2.5,5.000000000000001,0.5829359286731148,0.0,0.0,0.20247388729577312,13.569442189334467
2022-02-12,10.0,0.3315613291203976,-3.0,5.000000000000001,0.6351155052867394,0.0,0.0,0.6688388434512877,13.635515677858425
2022-02-19,10.0,0.37425537408555054,-3.0,5.000000000000001,0.5609129474404145,0.0,0.0,-0.23679850522510248,12.698369816300861
2022-02-26,10.0,0.4114919329468282,-3.0,5.000000000000001,0.7900140001445761,0.0,0.0,0.18112476267297137,13.382630695764378
2022-03-05,10.0,0.44272801282660496,-3.0,5.000000000000001,0.48414234474371565,0.0,0.0,0.09807755317275627,13.024947910743078
2022-03-12,10.0,0.4675081213427074,-3.0,5.000000000000001,0.3542884259404146,0.0,0.0,-0.11328591745440342,12.708510629828718
2022-03-19,10.0,0.485470908713026,-3.0,5.000000000000001,0.7716995779797083,0.0,0.0,-0.35960103697908,12.897569449713654
2022-03-26,10.0,0.496354437049027,-3.0,5.000000000000001,0.7305746712782677,0.0,0.0,0.22864720368324898,13.455576312010544
2022-04-02,10.0,0.5,-3.0,5.000000000000001,0.4317133948791959,0.04026869282073142,0.0,-0.41782825887642083,12.554153828823507
2022-04-09,10.0,0.496354437049027,-3.0,5.000000000000001,0.24251315174586294,0.3087345687107705,0.0,0.17537553426301536,13.222977691768676
2022-04-16,10.0,0.485470908713026,-3.0,5.000000000000001,0.1337888365890448,0.5695763442328404,0.0,-0.46166296708950877,12.727173122445402
