,c,cyclical_var,price,distribution,media1,media2,media3,error
2022-01-01,1,0.0,5.0,0.5,0.9310482566914615,0.0,0.0,-0.797043272130106
2022-01-08,1,0.12053668025532305,5.0,0.5,0.9128848156283403,0.0,0.0,0.45783500263962673
2022-01-15,1,0.23931566428755774,5.0,0.5,0.9474509137107439,0.0,0.0,1.7898490994101344
2022-01-22,1,0.3546048870425356,5.0,0.5,0.9496601272298054,0.0,0.0,-1.2012230407871285
2022-01-29,1,0.4647231720437685,5.0,0.5,0.9184456256895774,0.0,0.0,-0.6116690342597803
2022-02-05,1,0.5680647467311558,5.0,0.5,0.8886572342851087,0.0,0.0,0.345140622159656
2022-02-12,1,0.6631226582407952,6.0,0.5,0.9241910308992161,0.0,0.0,-0.34914008480134284
2022-02-19,1,0.7485107481711011,6.0,0.5,0.8571422855815443,0.0,0.0,-0.9716138692211663
2022-02-26,1,0.8229838658936564,6.0,0.5,0.9065682914325321,0.0,0.0,1.3306979856236654
2022-03-05,1,0.8854560256532099,6.0,0.5,0.95100955025246,0.0,0.0,1.1323670746787797
2022-03-12,1,0.9350162426854148,6.0,0.5,0.9598169268292203,0.0,0.0,-1.3351359179220863
2022-03-19,1,0.970941817426052,6.0,0.5,0.9627226743995262,0.0,0.0,-1.4485689196365086
2022-03-26,1,0.992708874098054,6.0,0.5,0.9499029214474345,0.0,0.0,-1.3697270031703073
2022-04-02,1,1.0,6.0,0.5,0.9004187197249436,0.7209108152181167,0.0,1.4178047632607595
2022-04-09,1,0.992708874098054,6.0,0.5,0.8054850371024601,0.8174326284994718,0.0,-0.6092212226544228
2022-04-16,1,0.9709418174260521,6.0,0.5,0.6417176045910427,0.8376474379804919,0.0,1.252414438138904
2022-04-23,1,0.9350162426854148,6.0,0.5,0.42666757480514284,0.8872684999500481,0.0,0.44272219289236386
2022-04-30,1,0.8854560256532099,6.0,0.5,0.24020265061321455,0.8628123509686716,0.0,0.2633401986899687
2022-05-07,1,0.8229838658936565,6.0,0.5,0.12453192592546843,0.8109303836505799,0.0,2.107732514761339
2022-05-14,1,0.7485107481711013,6.0,0.5,0.06286735214894472,0.8399364181366084,0.0,0.07669261170687015
2022-05-21,1,0.6631226582407952,5.5,0.5,0.0315104979093721,0.8983964426897333,0.0,0.8088055693572429
2022-05-28,1,0.5680647467311558,5.5,0.5,0.015764904606527217,0.8718129687167808,0.0,-0.07201034043042631
2022-06-04,1,0.46472317204376906,4.0,0.5,0.007883660924974684,0.8584241206615371,0.0,-0.10947560802084963
2022-06-11,1,0.35460488704253584,4.0,0.5,0.00394198159232946,0.9054065836999281,0.0,1.2645746706791225
2022-06-18,1,0.23931566428755768,4.0,0.5,0.0019710096890247046,0.8817320687583337,0.0,-1.3781637974488683
2022-06-25,1,0.12053668025532308,4.0,0.5,0.000985507206170783,0.9252002618124523,0.0,-0.20162396459875104
2022-07-02,1,-3.216245299353273e-16,4.0,0.5,0.0004927538982942871,0.8936492744413336,0.8495300655298026,-1.0425159423650396
2022-07-09,1,-0.12053668025532283,4.0,0.5,0.0002463769860483052,0.8495084253078963,0.8494963106624881,1.7421715200205654
2022-07-16,1,-0.23931566428755743,4.0,0.5,0.00012318849763679938,0.7889976412246079,0.8083496502889298,0.9848698013968248
2022-07-23,1,-0.3546048870425356,4.0,0.5,6.159424939498059e-05,0.7091130904861898,0.807705119628382,0.3194434516670512
2022-07-30,1,-0.46472317204376806,4.0,0.5,3.07971247695629e-05,0.610209832159636,0.49261187460445427,1.019411363965565
2022-08-06,1,-0.5680647467311556,4.0,0.5,1.539856239379053e-05,0.49894701395959445,0.5278663221140659,0.11316552017110532
2022-08-13,1,-0.663122658240795,4.0,0.5,7.6992811980214e-06,0.38781140128121067,0.11925704147206605,-0.6708162008465641
2022-08-20,1,-0.7485107481711011,4.0,0.5,3.849640599151466e-06,0.28922264415937116,0.46545883168689284,1.507410928799903
2022-08-27,1,-0.8229838658936564,5.0,0.5,1.924820299593329e-06,0.2097097345866119,0.26546131277274304,-0.6032908895940664
2022-09-03,1,-0.8854560256532096,5.0,0.5,9.62410149798864e-07,0.14953540523673295,0.7170014950917866,0.8998630980974687
2022-09-10,1,-0.9350162426854147,5.0,0.5,4.812050748997069e-07,0.10566226899116478,0.7133642759725226,-1.11913273029584
2022-09-17,1,-0.970941817426052,5.0,0.5,2.4060253744988785e-07,0.07431097063079242,0.8654113476785869,-0.676256641390052
2022-09-24,1,-0.992708874098054,5.0,0.5,1.2030126872494821e-07,0.052138341595592864,0.8025766724406554,-0.5149685427156936
2022-10-01,1,-1.0,5.0,0.5,6.015063436247465e-08,0.036538484486798015,0.2704402022285433,0.12244227269722473
2022-10-08,1,-0.992708874098054,6.0,0.5,3.007531718123739e-08,0.025591267281984527,0.04168400669642086,-2.6153942004000283
2022-10-15,1,-0.9709418174260521,6.0,0.5,1.5037658590618702e-08,0.01791880903902813,0.006050811703936687,0.9605247234369352
2022-10-22,1,-0.9350162426854148,6.0,0.5,7.518829295309353e-09,0.012544855797786742,0.0008771269119312919,2.054038461753699
2022-10-29,1,-0.8854560256532101,6.0,0.5,3.759414647654676e-09,0.008781978756194674,0.0001271448284089252,0.3659200965170026
2022-11-05,1,-0.822983865893657,6.0,0.5,1.879707323827338e-09,0.006147584000869471,1.8430397434414515e-05,1.2628777318825648
2022-11-12,1,-0.7485107481711011,6.0,0.5,9.39853661913669e-10,0.00430337701946321,2.6715954515229383e-06,-0.6678156344494518
2022-11-19,1,-0.6631226582407955,6.0,0.5,4.699268309568345e-10,0.0030123873136862424,3.8726361056975693e-07,-0.2694882192484923
2022-11-26,1,-0.5680647467311559,6.0,0.5,2.3496341547841727e-10,0.002108679145968852,5.613615788467848e-08,0.4882303570765175
2022-12-03,1,-0.4647231720437684,6.0,0.5,1.1748170773920864e-10,0.001476078155257551,8.13726912636308e-09,-0.23049710919507507
2022-12-10,1,-0.35460488704253595,6.0,0.5,5.874085386960432e-11,0.0010332556529912282,1.179545436132066e-09,-0.15426830324678212
2022-12-17,1,-0.2393156642875578,6.0,0.5,2.937042693480216e-11,0.0007232792809933068,1.7098210889847189e-10,-0.19968755386894757
2022-12-24,1,-0.12053668025532363,6.0,0.5,1.468521346740108e-11,0.0005062956077929586,2.4784871076467514e-11,-0.40972758167267465
2022-12-31,1,0.0,6.0,0.5,0.9158409733862442,0.00035440696356158527,3.592714104619434e-12,0.16304508754786037
2023-01-07,1,0.12053668025532305,6.0,0.5,0.9386563292547047,0.0002480848875636478,5.207852240872375e-13,-1.9738535894582765
2023-01-14,1,0.23931566428755774,5.5,0.5,0.950408085334327,0.00017365942577774867,7.549090791245227e-14,-0.05098146623705263
2023-01-21,1,0.3546048870425356,5.5,0.5,0.9351135975585265,0.00012156159958216012,1.0942854969502209e-14,-1.4911831006204643
2023-01-28,1,0.4647231720437685,4.0,0.5,0.9149698851596482,8.509312023495557e-05,1.5862317488939222e-15,-1.5335837455184322
2023-02-04,1,0.5680647467311558,4.0,0.5,0.9496960697026888,5.9565184345382014e-05,2.2993370269564396e-16,1.0252097722832523
2023-02-11,1,0.6631226582407952,4.0,0.5,0.9449240720954968,4.1695629103820605e-05,3.333025434158322e-17,-0.5821445372020263
2023-02-18,1,0.7485107481711011,4.0,0.5,0.9107510254826593,2.918694039395867e-05,4.8314181063969475e-18,0.7268340954298553
2023-02-25,1,0.8229838658936564,4.0,0.5,0.8248784198028687,0.8413083507736214,7.003427180481418e-19,-0.816532190394265
2023-03-04,1,0.8854560256532099,4.0,0.5,0.6728505042407995,0.8979780711489851,1.0151883192921107e-19,1.0800298341435262
2023-03-11,1,0.9350162426854148,4.0,0.5,0.46148955145979564,0.8686554033735869,1.4715756972521224e-20,-0.16616174675766068
2023-03-18,1,0.970941817426052,4.0,0.5,0.2654245261353049,0.837387297179253,2.133136277861327e-21,-1.1645032166717233
2023-03-25,1,0.992708874098054,4.0,0.5,0.1387382324515045,0.8728363017272284,3.0921075880940487e-22,-1.430415393165445
2023-04-01,1,1.0,4.0,0.5,0.07020262243690939,0.909277674750782,4.4821933955081096e-23,-1.4606517597193946
2023-04-08,1,0.992708874098054,4.0,0.5,0.035208347497099064,0.9038758666494442,6.497205243469513e-24,0.6825878751393047
2023-04-15,1,0.9709418174260521,4.0,0.5,0.017617645338081717,0.9288280737406995,9.41808446241359e-25,-1.6656396623227145
2023-04-22,1,0.9350162426854148,5.0,0.5,0.008810509519210292,0.8987622098194832,0.7750788662311879,1.6434235977571767
2023-04-29,1,0.8854560256532099,5.0,0.5,0.004405465706742851,0.8566176320785212,0.8668200865883018,0.8647511756109115
2023-05-06,1,0.8229838658936565,5.0,0.5,0.002202759224604747,0.7986289681763125,0.7440807436798961,0.6842248928239479
2023-05-13,1,0.7485107481711013,5.0,0.5,0.0011013829087953354,0.7215599493445671,0.8215147603842583,-1.1699670841131942
2023-05-20,1,0.6631226582407952,5.0,0.5,0.0005506918664620629,0.6250944925732138,0.8605965893772621,1.0806960344290322
2023-05-27,1,0.5680647467311558,5.0,0.5,0.00027534598473916757,0.5149061291558429,0.4299449074374899,-1.3173924248031468
2023-06-03,1,0.46472317204376906,6.0,0.5,0.0001376729988081035,0.4029194235242145,0.6271871363428972,0.6352971241103401
2023-06-10,1,0.35460488704253584,6.0,0.5,6.88365002088668e-05,0.3020059185253248,0.853118876871427,-1.034655278541178
2023-06-17,1,0.23931566428755768,6.0,0.5,3.441825020503529e-05,0.21967779025228967,0.35198025749937684,0.2990575184601866
2023-06-24,1,0.12053668025532308,6.0,0.5,1.7209125115092878e-05,0.15692577633488636,0.056794810157072065,0.2776007806371788
2023-07-01,1,-3.216245299353273e-16,6.0,0.6,8.604562559118344e-06,0.11098995541446119,0.008254193274774358,-2.3809872954220994
2023-07-08,1,-0.12053668025532283,6.0,0.6,4.30228127975566e-06,0.0780957123081543,0.0011965599274484549,0.8457642212027272
2023-07-15,1,-0.23931566428755743,6.0,0.6,2.151140639902391e-06,0.05480707308672341,0.00017344866031384953,-0.8592050167956804
2023-07-22,1,-0.3546048870425356,6.0,0.6,1.0755703199542656e-06,0.038413327972338304,2.514241294656207e-05,-0.33767602185626105
2023-07-29,1,-0.46472317204376806,6.0,0.6,5.377851599775166e-07,0.026905979035022655,3.644541921746037e-06,0.700479106815377
2023-08-05,1,-0.5680647467311556,6.0,0.6,2.6889257998880626e-07,0.01883990557852875,5.282979736661212e-07,-1.5348992931140137
2023-08-12,1,-0.663122658240795,6.0,0.6,1.344462899944091e-07,0.013189897550942152,7.657992553508508e-08,-0.9834204376561121
2023-08-19,1,-0.7485107481711011,6.0,0.6,6.722314499720531e-08,0.009233602085248661,1.1100714534756441e-08,0.03311530325898798
2023-08-26,1,-0.8229838658936564,6.0,0.6,3.361157249860275e-08,0.006463752618172426,1.6091144294165764e-09,0.46680092607310397
2023-09-02,1,-0.8854560256532096,6.0,0.6,1.6805786249301387e-08,0.004524706127691061,2.332506829942947e-10,-0.7112069309639363
2023-09-09,1,-0.9350162426854147,5.5,0.6,8.402893124650695e-09,0.00316732148883699,3.3811070314639544e-11,-0.8073211225239767
2023-09-16,1,-0.970941817426052,5.5,0.6,4.2014465623253476e-09,0.002217134371813234,4.9011152342454725e-12,-0.16272703946809394
2023-09-23,1,-0.992708874098054,4.0,0.6,2.1007232811626738e-09,0.0015519972603675566,7.10445730224413e-13,-1.661237218767758
2023-09-30,1,-1.0,4.0,0.6,1.0503616405813369e-09,0.0010863991798970743,1.0298332348266097e-13,-0.33811932830283636
2023-10-07,1,-0.992708874098054,4.0,0.6,5.251808202906684e-10,0.0007604798024194183,1.492804371163487e-14,1.2340046764695185
