,c,seasonality,holidays,price,distribution,media1,media2,media3,error,actual
2022-01-01,20.0,0.0,0.0,-2.5,2.0000000000000004,0.32164732011480895,0.0,0.0,-0.4697905785332954,19.351856741581514
2022-01-08,20.0,0.120536680255323,0.0,-2.5,2.0000000000000004,0.542862125129396,0.0,0.0,-0.14799121141898,20.01540759396574
2022-01-15,20.0,0.2393156642875577,0.0,-2.5,2.0000000000000004,0.5188477479905995,0.0,0.0,0.06698071992268805,20.325144132200844
2022-01-22,20.0,0.3546048870425356,2.0,-2.5,2.0000000000000004,0.6377332737679686,0.0,0.0,-0.3007189376626278,22.191619223147878
2022-01-29,20.0,0.4647231720437685,0.0,-2.5,2.0000000000000004,0.7493893385879836,0.0,0.0,0.8752950197648054,21.58940753039656
2022-02-05,20.0,0.5680647467311558,0.0,-2.5,2.0000000000000004,0.8704675161993006,0.0,0.0,0.0029387559959293,20.94147101892639
2022-02-12,20.0,0.6631226582407952,0.0,-3.0,2.0000000000000004,0.7616697997669167,0.0,0.0,0.42247320022911394,20.847265658236825
2022-02-19,20.0,0.7485107481711011,0.0,-3.0,2.0000000000000004,0.9649875947589457,0.0,0.0,-0.0117523456859553,20.70174599724409
2022-02-26,20.0,0.8229838658936564,2.0,-3.0,2.0000000000000004,0.7169173825404124,0.0,0.0,-0.333916168336941,22.20598508009713
2022-03-05,20.0,0.8854560256532099,0.0,-3.0,2.0000000000000004,0.9679224913755964,0.0,0.0,-0.0606128644545354,20.792765652574268
2022-03-12,20.0,0.9350162426854148,0.0,-3.0,2.0000000000000004,0.8861231898814681,0.0,0.0,-0.2845268036644747,20.536612628902407
2022-03-19,20.0,0.970941817426052,0.0,-3.0,2.0000000000000004,0.9264015124410915,0.0,0.0,0.4052888756370345,21.302632205504178
2022-03-26,20.0,0.992708874098054,0.0,-3.0,2.0000000000000004,0.8867047190905013,0.0,0.0,0.40695794786888734,21.28637154105744
2022-04-02,20.0,1.0,0.0,-3.0,2.0000000000000004,0.5425517310760033,0.08989783821489947,0.0,-1.245276880868718,19.387172688422183
2022-04-09,20.0,0.992708874098054,0.0,-3.0,2.0000000000000004,0.30919654024190474,0.3635068320410206,0.0,-0.3998687521774783,20.265543494203502
2022-04-16,20.0,0.970941817426052,0.0,-3.0,2.0000000000000004,0.17140237159244145,0.3370606362614585,0.0,0.21668429455206,20.696089119832013
2022-04-23,20.0,0.9350162426854148,0.0,-3.0,2.0000000000000004,0.0941583347945865,0.7346983431255821,0.0,-0.6361954536433445,20.127677466962236
2022-04-30,20.0,0.8854560256532099,0.0,-3.0,2.0000000000000004,0.05158061586433163,0.8854483799345246,0.0,-0.03569699043040825,20.786788031021654
2022-05-07,20.0,0.8229838658936565,0.0,-3.0,2.0000000000000004,0.028232385263500755,1.0,0.0,-0.541842530277741,20.309373720879417
2022-05-14,20.0,0.7485107481711013,0.0,-3.0,2.0000000000000004,0.015448935101478675,0.9548725200647272,0.0,-0.1121148753431928,20.606717327994115
2022-05-21,20.0,0.6631226582407952,0.0,-2.75,2.0000000000000004,0.0084531105243221,0.6345175719742354,0.0,-0.9306756389765888,19.625417701762764
2022-05-28,20.0,0.5680647467311558,0.0,-2.75,2.0000000000000004,0.00462513774115526,0.44580862665238863,0.0,-0.3742436912563103,19.89425481986839
2022-06-04,20.0,0.464723172043769,2.0,-2.0,2.0000000000000004,0.0025306369100647342,0.31611955737846614,0.0,-0.7462350938197855,22.037138272512518
2022-06-11,20.0,0.3546048870425358,0.0,-2.0,2.0000000000000004,0.0013846312212074069,0.40935752529772895,0.0,-0.3883531769200772,20.376993866641396
2022-06-18,20.0,0.2393156642875576,0.0,-2.0,2.0000000000000004,0.0007575968094737173,0.47694869209619495,0.0,-0.6286262698203218,20.0883956833729
2022-06-25,20.0,0.120536680255323,2.0,-2.0,2.0000000000000004,0.00041451674070243496,0.6005124716037905,0.0,-0.33615388582713,22.385309782772683
2022-07-02,20.0,-3.216245299353273e-16,0.0,-2.0,2.0000000000000004,0.000226801534508016,0.29950077165581357,0.952165436400079,0.2420092401896976,21.493902249780103
2022-07-09,20.0,-0.1205366802553228,2.0,-2.0,2.0000000000000004,0.00012409374619218647,0.1489905431980173,0.7566608598033625,-0.2817923313176371,22.50344648517461
2022-07-16,20.0,-0.2393156642875574,0.0,-2.0,2.0000000000000004,6.78975025541554e-05,0.07406994970359027,0.9573085528459907,0.33974057001078417,21.131871305775363
